Age,Age_Group,Gender,Education_Label,Department,MonthlyIncome,JobLevel,YearsAtCompany,OverTime,Attrition,Attrition_Binary,AI_Risk_Score_LR,AI_Risk_Score_RF,AI_Flag_LR,AI_Flag_RF
19,18-25,Female,Below College,Research & Development,1483,1,1,0,No,0,0.3042084096534445,0.19,0,0
40,36-45,Female,Bachelor,Research & Development,5605,2,20,0,No,0,0.09719481655341655,0.03,0,0
35,26-35,Male,Doctor,Sales,7295,3,10,0,No,0,0.043308455382378507,0.07,0,0
53,46-60,Male,College,Sales,2306,2,7,1,No,0,0.15831333809320713,0.13,0,0
45,36-45,Male,Bachelor,Research & Development,2348,2,17,0,No,0,0.17996836787434364,0.08,0,0
32,26-35,Female,Bachelor,Sales,8998,3,9,0,No,0,0.041612795970943826,0.04,0,0
29,26-35,Male,Below College,Research & Development,4319,2,10,0,No,0,0.04147865958979604,0.01,0,0
51,46-60,Male,Master,Research & Development,6132,2,1,0,No,0,0.04931288754413158,0.04,0,0
58,46-60,Female,Bachelor,Research & Development,3346,1,1,1,No,0,0.2724009850933003,0.06,0,0
40,36-45,Male,Master,Sales,10855,3,12,0,No,0,0.039163649466900555,0.03,0,0
34,26-35,Female,Master,Sales,2231,1,4,0,No,0,0.10942517218518823,0.05,0,0
22,18-25,Male,Below College,Research & Development,2323,1,2,0,No,0,0.1268743961203139,0.19,0,0
27,26-35,Male,Bachelor,Research & Development,2024,1,2,0,No,0,0.3467469123753062,0.16,0,0
28,26-35,Male,Bachelor,Research & Development,2713,1,5,0,No,0,0.24834463983641164,0.06,0,0
57,46-60,Male,College,Research & Development,9439,3,5,1,No,0,0.17879207917689557,0.11,0,0
27,26-35,Male,Bachelor,Research & Development,2566,1,1,1,No,0,0.48826930974988536,0.23,0,0
50,46-60,Female,Bachelor,Research & Development,19926,5,5,0,No,0,0.012299385852568746,0.01,0,0
41,36-45,Male,Bachelor,Research & Development,2451,1,9,0,No,0,0.11300436089401705,0.03,0,0
30,26-35,Female,Bachelor,Sales,9419,3,10,0,No,0,0.0396650139128377,0.03,0,0
38,36-45,Female,Master,Sales,8686,2,8,0,No,0,0.05041880004710702,0.04,0,0
32,26-35,Male,Doctor,Research & Development,3038,1,5,0,No,0,0.08756019768129551,0.08,0,0
27,26-35,Male,Bachelor,Research & Development,3058,1,5,1,No,0,0.5577427330685385,0.16,1,0
19,18-25,Female,Below College,Sales,2325,1,0,0,Yes,1,0.1483727921568083,0.79,0,1
36,36-45,Male,College,Research & Development,2088,1,8,0,No,0,0.0670880455884419,0.05,0,0
30,26-35,Male,Bachelor,Research & Development,3072,2,12,0,No,0,0.09092592910146399,0.16,0,0
45,36-45,Female,College,Sales,5006,2,5,1,No,0,0.20963636641606725,0.02,0,0
56,46-60,Female,Bachelor,Research & Development,4257,1,2,1,No,0,0.11996562099931828,0.02,0,0
33,26-35,Male,Bachelor,Research & Development,2500,1,3,0,No,0,0.046748605820068005,0.01,0,0
19,18-25,Male,Bachelor,Research & Development,1102,1,1,0,Yes,1,0.24635888017054972,0.73,0,1
46,46-60,Female,College,Sales,10453,3,24,0,No,0,0.014638216341067392,0.06,0,0
38,36-45,Female,College,Research & Development,2288,1,2,0,No,0,0.05638753724036033,0.11,0,0
31,26-35,Female,Below College,Research & Development,3929,1,4,1,No,0,0.48831397058043047,0.23,0,0
34,26-35,Female,College,Research & Development,2311,1,3,0,No,0,0.11724475727528881,0.03,0,0
41,36-45,Female,College,Sales,3140,1,4,1,Yes,1,0.4184945800219419,0.28,0,0
50,46-60,Male,Bachelor,Research & Development,3690,1,3,0,No,0,0.050571872352725825,0.02,0,0
53,46-60,Female,College,Research & Development,4450,2,4,0,No,0,0.04515292986671693,0.05,0,0
33,26-35,Female,Bachelor,Research & Development,2756,1,8,0,No,0,0.04946626732989265,0.01,0,0
40,36-45,Female,Below College,Research & Development,19033,5,20,0,No,0,0.009006513108262861,0.0,0,0
55,46-60,Male,Master,Research & Development,18722,5,24,0,No,0,0.009642803683166992,0.06,0,0
34,26-35,Male,Below College,Research & Development,9547,2,10,0,No,0,0.025733798891964303,0.03,0,0
51,46-60,Female,Bachelor,Research & Development,13734,4,7,0,No,0,0.005452790622776245,0.03,0,0
52,46-60,Male,Master,Research & Development,19999,5,33,0,No,0,0.0014219751411962212,0.14,0,0
27,26-35,Female,Bachelor,Research & Development,2279,1,7,0,No,0,0.08892426503918895,0.09,0,0
35,26-35,Male,College,Research & Development,5916,2,1,1,Yes,1,0.5681494891189643,0.8,1,1
43,36-45,Male,Bachelor,Research & Development,2089,1,5,0,No,0,0.02707669297316168,0.03,0,0
45,36-45,Male,College,Research & Development,16792,4,20,0,No,0,0.05200219991796535,0.07,0,0
37,36-45,Male,Bachelor,Research & Development,3564,1,8,1,No,0,0.5439406845522011,0.12,1,0
35,26-35,Female,Bachelor,Research & Development,4425,2,6,0,No,0,0.1500621252707065,0.15,0,0
42,36-45,Female,College,Research & Development,5265,2,5,0,No,0,0.04959253826930912,0.01,0,0
38,36-45,Male,Master,Research & Development,6553,2,1,0,No,0,0.08820795953301216,0.04,0,0
38,36-45,Male,Bachelor,Research & Development,6261,2,7,0,No,0,0.08074954143567326,0.03,0,0
27,26-35,Male,Below College,Research & Development,4298,2,2,0,No,0,0.2506142382139646,0.09,0,0
49,46-60,Male,Master,Research & Development,6804,2,7,1,No,0,0.07974455481035796,0.05,0,0
34,26-35,Male,Master,Research & Development,3815,1,5,1,No,0,0.16095473321018727,0.11,0,0
40,36-45,Male,College,Research & Development,2741,2,7,1,No,0,0.34335498732107894,0.05,0,0
38,36-45,Male,Below College,Research & Development,6673,2,1,1,Yes,1,0.7009817160643264,0.74,1,1
29,26-35,Female,Bachelor,Sales,7639,3,10,0,Yes,1,0.14364745825535502,0.69,0,1
22,18-25,Male,Bachelor,Research & Development,2328,1,4,1,No,0,0.5130638838237092,0.29,1,0
36,36-45,Female,Below College,Research & Development,2153,1,8,0,No,0,0.12099384566402696,0.01,0,0
40,36-45,Male,Doctor,Research & Development,4876,2,3,0,No,0,0.16410190142092612,0.1,0,0
46,46-60,Male,Master,Research & Development,9396,3,4,0,No,0,0.053055748549425574,0.01,0,0
32,26-35,Male,Master,Sales,10400,3,14,0,Yes,1,0.026640217054905307,0.71,0,1
30,26-35,Male,Below College,Research & Development,8474,3,11,0,No,0,0.032829141926277915,0.06,0,0
27,26-35,Female,Bachelor,Sales,9981,2,7,0,No,0,0.05524597470721497,0.02,0,0
51,46-60,Male,Master,Research & Development,12490,3,10,0,No,0,0.05068244925181979,0.06,0,0
30,26-35,Female,Bachelor,Research & Development,2657,1,5,1,Yes,1,0.43564424378211763,0.62,0,1
41,36-45,Female,Bachelor,Sales,13591,3,1,1,No,0,0.062177480337112734,0.04,0,0
30,26-35,Female,Master,Sales,6696,2,6,0,Yes,1,0.33802247798423735,0.62,0,1
29,26-35,Male,Bachelor,Research & Development,2058,1,6,0,Yes,1,0.1198853242982384,0.05,0,0
45,36-45,Female,Bachelor,Sales,8865,3,19,0,No,0,0.01743963501708406,0.0,0,0
54,46-60,Female,Bachelor,Sales,5940,2,6,0,No,0,0.018919927329718058,0.0,0,0
36,36-45,Male,College,Research & Development,5914,2,13,0,No,0,0.0399193828090084,0.02,0,0
33,26-35,Female,Master,Research & Development,2622,1,3,0,No,0,0.15091097369443415,0.07,0,0
37,36-45,Male,Bachelor,Research & Development,12185,3,10,1,No,0,0.15136264630315957,0.09,0,0
38,36-45,Male,Bachelor,Sales,10609,3,16,0,No,0,0.03594336516326306,0.06,0,0
31,26-35,Male,Master,Research & Development,4345,2,5,0,No,0,0.0625281491413813,0.01,0,0
59,46-60,Male,Bachelor,Research & Development,2177,1,1,0,No,0,0.018245469800361753,0.14,0,0
37,36-45,Male,Master,Sales,2793,1,9,0,No,0,0.07051147929253453,0.0,0,0
29,26-35,Female,Below College,Sales,7918,3,11,0,No,0,0.02599114186772993,0.0,0,0
35,26-35,Female,Bachelor,Sales,8789,3,10,0,No,0,0.02089559833320219,0.02,0,0
29,26-35,Male,Below College,Research & Development,2389,1,4,1,Yes,1,0.433150245406317,0.49,0,0
52,46-60,Female,Bachelor,Research & Development,3212,1,2,0,No,0,0.05570456911752397,0.04,0,0
42,36-45,Male,College,Research & Development,19232,5,22,0,No,0,0.0037978321706179444,0.07,0,0
59,46-60,Male,College,Human Resources,2267,1,2,0,No,0,0.11188100532114821,0.05,0,0
50,46-60,Female,Master,Sales,19517,5,7,0,No,0,0.005440363355419426,0.0,0,0
33,26-35,Male,Bachelor,Research & Development,2436,1,5,1,Yes,1,0.5284341845699561,0.81,1,1
43,36-45,Female,Bachelor,Sales,16064,4,17,1,No,0,0.029887640372855042,0.02,0,0
33,26-35,Female,College,Research & Development,2707,1,9,0,Yes,1,0.17572027588710412,0.76,0,1
52,46-60,Male,Master,Sales,19068,5,33,1,No,0,0.04699735912974471,0.07,0,0
32,26-35,Female,College,Sales,3931,1,4,0,No,0,0.08874502697065736,0.06,0,0
32,26-35,Male,Bachelor,Research & Development,3730,1,3,1,Yes,1,0.3085837435824504,0.17,0,0
39,36-45,Female,Master,Research & Development,2232,1,3,0,No,0,0.11811329733734433,0.07,0,0
32,26-35,Male,Master,Sales,4465,2,3,0,No,0,0.10727505983538002,0.08,0,0
41,36-45,Male,College,Research & Development,3072,2,1,0,No,0,0.14847342716492093,0.06,0,0
40,36-45,Male,College,Research & Development,3319,2,9,0,No,0,0.08148756598227955,0.02,0,0
45,36-45,Male,Bachelor,Research & Development,19202,5,24,0,No,0,0.01642813905168466,0.02,0,0
31,26-35,Male,Master,Research & Development,13675,3,2,0,No,0,0.2040762136927251,0.24,0,0
33,26-35,Female,Master,Research & Development,2911,1,2,0,No,0,0.08740298038846907,0.24,0,0
34,26-35,Male,Master,Research & Development,5957,2,11,0,No,0,0.07570074363026805,0.03,0,0
37,36-45,Female,College,Research & Development,3920,1,3,0,No,0,0.08854854229329341,0.01,0,0
45,36-45,Male,Master,Research & Development,6434,2,3,0,No,0,0.11805143650070983,0.0,0,0
37,36-45,Male,Bachelor,Research & Development,10048,3,1,0,Yes,1,0.1476447562793088,0.73,0,1
39,36-45,Female,Master,Research & Development,10938,3,19,0,No,0,0.016487107100432122,0.0,0,0
29,26-35,Male,Bachelor,Research & Development,2340,1,6,0,No,0,0.08469798425467927,0.02,0,0
42,36-45,Female,College,Research & Development,6545,2,3,1,No,0,0.30077079758270886,0.06,0,0
29,26-35,Male,College,Sales,6931,2,3,0,No,0,0.0708942017414409,0.01,0,0
25,18-25,Female,Bachelor,Research & Development,4898,2,4,0,No,0,0.1569711182531901,0.04,0,0
42,36-45,Female,Bachelor,Research & Development,2593,1,9,1,No,0,0.11770312048883072,0.04,0,0
40,36-45,Male,College,Research & Development,19436,5,21,0,No,0,0.020658371358190222,0.08,0,0
51,46-60,Male,Bachelor,Research & Development,2723,1,1,0,No,0,0.05496993284217651,0.03,0,0
31,26-35,Male,College,Research & Development,3479,1,5,0,Yes,1,0.1438067712533598,0.68,0,1
32,26-35,Male,Bachelor,Research & Development,2794,1,5,0,No,0,0.28604557473905295,0.11,0,0
38,36-45,Male,College,Sales,5249,2,8,0,No,0,0.020597844166819267,0.11,0,0
32,26-35,Male,Below College,Research & Development,2176,2,6,0,No,0,0.12894910579066646,0.02,0,0
46,46-60,Female,Bachelor,Sales,16872,4,7,1,No,0,0.05021251690486259,0.02,0,0
28,26-35,Male,Master,Research & Development,3485,1,0,0,Yes,1,0.3271648496294555,0.76,0,1
29,26-35,Male,Bachelor,Sales,6644,2,0,0,No,0,0.1956074364784057,0.21,0,0
31,26-35,Male,Bachelor,Research & Development,5582,2,9,0,No,0,0.14607820918386552,0.04,0,0
25,18-25,Male,College,Research & Development,4000,2,6,0,No,0,0.271291867333464,0.02,0,0
45,36-45,Male,College,Research & Development,13496,4,20,1,No,0,0.07202691657125304,0.01,0,0
36,36-45,Male,Bachelor,Research & Development,3210,1,15,0,No,0,0.008944897959484114,0.09,0,0
55,46-60,Male,Bachelor,Research & Development,19045,5,36,1,No,0,0.019848086700325118,0.09,0,0
47,46-60,Male,Master,Research & Development,11849,3,10,1,Yes,1,0.4316891267104016,0.74,0,1
28,26-35,Male,Bachelor,Research & Development,2070,1,5,0,No,0,0.0811144746077983,0.06,0,0
37,36-45,Male,Master,Sales,6502,2,5,0,No,0,0.03842484677222689,0.0,0,0
21,18-25,Male,College,Research & Development,3230,1,3,0,No,0,0.07246218526093347,0.1,0,0
37,36-45,Female,Master,Research & Development,13603,3,5,1,No,0,0.15908988765855842,0.02,0,0
35,26-35,Female,Bachelor,Research & Development,11996,3,7,0,No,0,0.18682119254144555,0.08,0,0
38,36-45,Female,College,Sales,5605,2,8,1,No,0,0.5151098669236815,0.04,1,0
26,26-35,Female,Bachelor,Research & Development,6397,2,6,0,No,0,0.10851503186886918,0.03,0,0
50,46-60,Male,Below College,Research & Development,19144,5,10,0,No,0,0.029681750459175524,0.0,0,0
53,46-60,Male,Master,Research & Development,17584,4,5,1,No,0,0.04891074400722192,0.04,0,0
